,ID,Date,Guilty,心理諮商,鑑定書,測謊鑑定,驗傷診斷書,通話紀錄,對話紀錄,坦承,指述,繪圖,輔導紀錄,同事關係,同居關係,按摩,男女朋友
45,臺灣高等法院臺南分院104年侵上訴字第232號刑事判決,民國105年03月10日,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
46,臺灣臺中地方法院104年侵訴字第195號刑事判決,民國105年03月10日,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1
47,臺灣高等法院臺中分院104年侵上更(一)字第9號刑事判決,民國105年02月24日,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
48,臺灣臺中地方法院103年侵訴字第176號刑事判決,民國105年02月24日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
49,臺灣高等法院花蓮分院104年侵上訴字第28號刑事判決,民國105年02月22日,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
50,臺灣臺中地方法院104年侵訴字第102號刑事判決,民國105年02月04日,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
51,臺灣高等法院104年侵上訴字第273號刑事判決,民國105年02月02日,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,臺灣高等法院臺中分院104年侵上訴字第108號刑事判決,民國105年01月27日,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
53,臺灣臺中地方法院104年侵訴字第146號刑事判決,民國105年01月27日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
54,臺灣臺中地方法院103年侵訴字第205號刑事判決,民國105年01月14日,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
55,臺灣高等法院臺中分院104年侵上訴字第159號刑事判決,民國105年01月13日,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
56,臺灣花蓮地方法院104年侵訴字第32號刑事判決,民國104年12月31日,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
57,臺灣高雄地方法院103年侵訴字第84號刑事判決,民國104年12月31日,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
58,臺灣高等法院高雄分院104年重侵上更(八)字第1號刑事判決,民國104年12月25日,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
59,臺灣南投地方法院104年原侵訴字第1號刑事判決,民國104年12月17日,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
